contrast,lhs,rhs,definition,metric,metric_label,unit,n_pairs,n_tasks,n_families,n_observed_metric_families,n_metric_complete_families,n_analysis_tasks,n_candidate_pairs,n_candidate_tasks,n_candidate_families,n_arm_complete_pairs,n_arm_complete_tasks,n_arm_complete_families,coverage_basis,missing_lhs_runs,missing_rhs_runs,missing_metric_pairs,missing_family_candidate_tasks,lhs_pair_mean,rhs_pair_mean,estimate,ci_low,ci_high,task_cluster_estimate,task_cluster_ci_low,task_cluster_ci_high,median_pair_delta
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,semantic_pass,semantic pass,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,policy_pass,policy pass,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,hard_pass,Hard Pass,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,first_schema_valid,first-schema valid,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,0.9285714285714286,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,final_schema_valid,final-schema valid,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,response_contract_valid,response-contract valid,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,abstained,abstained,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,answer_candidate_count,answer candidate count,candidates,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,3.857142857142857,3.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,chance_reference,uniform-guess 1/K reference,ratio,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.2619047619047619,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,total_tokens,total tokens,tokens,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,8157.214285714285,4239.785714285715,3917.4285714285716,2477.785714285714,5701.071428571428,3917.4285714285716,2414.4928571428572,6031.657142857142,2839.5
