jobId,blockId,familyId,dependencyDirection,repeat,condition,status,hardPass,failureCode,abstained,confidentWrong,topologyValid,observedFirstRole,upstreamPassedToSecond,lifecycleValid,parentProviderContextTokens,parentMessageBytes,treeTokens,wallTimeMs
sha256:778f6d2e9af0ba754d086dc579803184cb46ab0be9a35700522a767e33069030,rollout-lane:r1,rollout-lane,constraint-first,1,OBSERVATION_FIRST,capability_failure,false,ABSTAINED,true,false,true,observation,true,true,1255,5190,26814,34627.014917
sha256:a27b4c768d64258e1919310b380a472f9a6b30e17b134f12d2b2b00780c0b67a,rollout-lane:r1,rollout-lane,constraint-first,1,CONSTRAINT_FIRST,completed,true,,false,false,true,constraint,true,true,966,4395,24704,21865.292458
sha256:c45613b8f14c0b3fcecdf1cc6253889a3026c1733b70f3929628f418f3c60fbb,rollout-lane:r1,rollout-lane,constraint-first,1,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,995,4532,25036,27049.037333
sha256:a39cd3fef24481782d038fa8f18faf7d9936fd9af17ffeb21959b5b7e96f88da,rollout-lane:r1,rollout-lane,constraint-first,1,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,989,4443,21638,16591.730334
sha256:c96801b38fa37b4b322ecde7ad42318db5c5cacf35558ac25bfd7e8317f22ae8,rollout-lane:r2,rollout-lane,constraint-first,2,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,1136,4820,25007,24028.78975
sha256:e8f2fb06a87a58025ac00c766a347bc6f9c3270b709868513c565fc3b7da0295,rollout-lane:r2,rollout-lane,constraint-first,2,OBSERVATION_FIRST,capability_failure,false,ABSTAINED,true,false,true,observation,true,true,1188,5093,25527,34162.962875
sha256:fa453ca45cda95bc349668c7400636fdff015af75b2006c02d161cc411c31f83,rollout-lane:r2,rollout-lane,constraint-first,2,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,991,4453,21813,21332.133625
sha256:03ad539f62a6f31ae59aa13001bd2b870e0c9781ed282afc30f8563cd03bd472,rollout-lane:r2,rollout-lane,constraint-first,2,CONSTRAINT_FIRST,completed,true,,false,false,true,constraint,true,true,1122,4739,24984,34235.072959
sha256:f52ff99a5908cb7027fc7ba6cebc1b6b2e4b382c48d2458482b1f53e519c6431,rollout-lane:r3,rollout-lane,constraint-first,3,CONSTRAINT_FIRST,completed,true,,false,false,true,constraint,true,true,976,4421,24745,23597.602625
sha256:1dc5d33f7ccf6d17f90090fc0385ff47e54d9143c0e9db44b2d4dc8c28975184,rollout-lane:r3,rollout-lane,constraint-first,3,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,1020,4607,23064,27441.3475
sha256:20caf1f54e81d7411ec5258596e78a5aa7289eb5190f66da47be33502b90d0dd,rollout-lane:r3,rollout-lane,constraint-first,3,OBSERVATION_FIRST,capability_failure,false,ABSTAINED,true,false,true,observation,true,true,1010,4511,25497,26835.046125
sha256:6b7b350e74053e13b8b74818ec495ca3fef533a1889ee7776ef0dcb83742f6e7,rollout-lane:r3,rollout-lane,constraint-first,3,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,994,4498,25380,29140.32875
sha256:fa801ff8271eb15c7e5f726bc77fd48845bd0a56aca97d226520ed3f486582c4,retention-tier:r1,retention-tier,constraint-first,1,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,989,4516,24762,22479.597459
sha256:8a1959b21d6ce19b6db93d8b3339b805d8e720c4531a324e556ca3d42598d143,retention-tier:r1,retention-tier,constraint-first,1,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,964,4380,21460,16869.366916
sha256:1bb09ea3e426b3ce921295c44baaf2080473469959ba871a5c13aa09ae307c95,retention-tier:r1,retention-tier,constraint-first,1,CONSTRAINT_FIRST,completed,true,,false,false,true,constraint,true,true,1137,4830,26379,34078.7385
sha256:92dd5130fe8e46c844ee653b3c4e52633382d1b97213eb78e3bd58b1e40c5faa,retention-tier:r1,retention-tier,constraint-first,1,OBSERVATION_FIRST,capability_failure,false,ABSTAINED,true,false,true,observation,true,true,1010,4620,25018,23249.726959
sha256:4108e45123d27726f9f8ec6a889998d2e0d856f370181354961859c6ff99eeb1,retention-tier:r2,retention-tier,constraint-first,2,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,983,4359,26933,20846.756084
sha256:c4083ac1f1ce40cb64101870554833c52dded3ce8bbd3dd151fa68b4cd82624c,retention-tier:r2,retention-tier,constraint-first,2,OBSERVATION_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,966,4408,24977,25531.390125
sha256:5076103bebd1b297a9350cc68fef482325f27ad356b7343796f929e7e2aba63c,retention-tier:r2,retention-tier,constraint-first,2,CONSTRAINT_FIRST,completed,true,,false,false,true,constraint,true,true,1151,4745,24976,24804.344167
sha256:39c4dcf8e7a3b81c69030be4f96ab72a98189971e78371186684d1483c9b1f9b,retention-tier:r2,retention-tier,constraint-first,2,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,990,4501,24813,22395.781125
sha256:8d1c9658ccae8aad9edfe9aa20c9b12f0a253a61a1b6733923c5d5da8bf72f23,retention-tier:r3,retention-tier,constraint-first,3,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,1013,4607,24718,22865.475292
sha256:506aafaeaffbb1a1e235a10cc41a9f21b0570e14d3e9a14546cab4d8c2104aec,retention-tier:r3,retention-tier,constraint-first,3,CONSTRAINT_FIRST,completed,true,,false,false,true,constraint,true,true,993,4501,25353,30710.338166
sha256:e5a78029c29df90ba8eed5eeb00c1f6230f7464abc6b73132f7fd3d497abe8f4,retention-tier:r3,retention-tier,constraint-first,3,OBSERVATION_FIRST,capability_failure,false,ABSTAINED,true,false,true,observation,true,true,1012,4643,25198,23170.095208
sha256:23fb4324993e74d65ddf53a6e45f1e198407bd5deb8d85b9fccf5b66b34a3f6c,retention-tier:r3,retention-tier,constraint-first,3,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,1095,4559,21884,26330.484333
sha256:e3d50b558fe83d88f4986ae90340c5ee261d6c5ef9e10d4e6f4db308245458c6,client-cohort:r1,client-cohort,observation-first,1,CONSTRAINT_FIRST,capability_failure,false,ABSTAINED,true,false,true,constraint,true,true,1015,4539,25326,27900.166833
sha256:3fc8c544b0aa9cd9c217db8fbd871cc33bb0a166a5f92af6ac52db0538782c30,client-cohort:r1,client-cohort,observation-first,1,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,1017,4544,21674,16572.952
sha256:15bff684394b4ad5bae78f907722e5a897e2bbb1aeee300e8f13a84a90e5a097,client-cohort:r1,client-cohort,observation-first,1,OBSERVATION_FIRST,completed,true,,false,false,true,observation,true,true,986,4445,25692,34261.768208
sha256:e6208f6d7bd26ce18b25f47ea415fe316b3359284e536157cad8136f272a35ee,client-cohort:r1,client-cohort,observation-first,1,ADAPTIVE_ORDER,completed,true,,false,false,true,observation,true,true,971,4327,24556,22176.534792
sha256:b9180a9b9033bd3e36a6818e37b710a3022000431ce8625bbed76e2bcc3c207f,client-cohort:r2,client-cohort,observation-first,2,OBSERVATION_FIRST,completed,true,,false,false,true,observation,true,true,965,4355,25322,30688.558125
sha256:9494faafa1ef94c1c1167caf14049fff3ba117929dfc7ccccc060fc8e4571dab,client-cohort:r2,client-cohort,observation-first,2,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,991,4510,21544,16218.267708
sha256:b4e633d6d8945a2fafbd5b5ad08e76ab034fc8181382fa60bd56fb718d444f78,client-cohort:r2,client-cohort,observation-first,2,CONSTRAINT_FIRST,capability_failure,false,ABSTAINED,true,false,true,constraint,true,true,1037,4597,25842,77190.020625
sha256:ad040560356fa950285bac302a38d5b078522c540f7af6368de50c8c8801ce82,client-cohort:r2,client-cohort,observation-first,2,ADAPTIVE_ORDER,completed,true,,false,false,true,observation,true,true,981,4454,26710,32083.837792
sha256:059ebba08cd5c522536799852196ca5bb01d3f85c2e2004ee91b77c7cb2c235a,client-cohort:r3,client-cohort,observation-first,3,OBSERVATION_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,959,4310,24614,23692.634958
sha256:69774e7341773e33fb7b57ec3e447686e68d5e1499f37055338760769e97965c,client-cohort:r3,client-cohort,observation-first,3,ADAPTIVE_ORDER,completed,true,,false,false,true,observation,true,true,984,4418,24618,34069.271834
sha256:67d91743667499dec96b186683a715ebaa9dd3800275e3dd04e3f31b4e7becd9,client-cohort:r3,client-cohort,observation-first,3,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,983,4409,21699,18629.372
sha256:28655b20e8bc63a5e651b194f7441cc704aca203590d632e0601b7fbbef6b50b,client-cohort:r3,client-cohort,observation-first,3,CONSTRAINT_FIRST,capability_failure,false,ABSTAINED,true,false,true,constraint,true,true,1001,4492,25248,47080.431375
sha256:32118a8723a81e47bf2626773629564c60a96039ffe15236973fe57d9c71d8e1,replica-region:r1,replica-region,observation-first,1,CONSTRAINT_FIRST,capability_failure,false,ABSTAINED,true,false,true,constraint,true,true,992,4475,25136,22687.244833
sha256:c8894428175414dbb19e76b5c1ffb974b317db862e0c4c1292a74a662fb8b522,replica-region:r1,replica-region,observation-first,1,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,1034,4592,22344,31037.874208
sha256:442c2fe54e4decae0e0745350611dbe248f9176ed5ab881124601364e3565ce7,replica-region:r1,replica-region,observation-first,1,ADAPTIVE_ORDER,completed,true,,false,false,true,observation,true,true,979,4465,24809,23867.137875
sha256:42e1dcf41771a81e6a165b21e91409957b4c509f86b9e1c9e286ffbdc7ec9642,replica-region:r1,replica-region,observation-first,1,OBSERVATION_FIRST,capability_failure,false,ABSTAINED,true,false,true,observation,true,true,1005,4576,26600,50354.519834
sha256:968e829ebdf54f4ea9effe3b058e67b8cbe9a9c7ef701262bde5d4dcd7723fc8,replica-region:r2,replica-region,observation-first,2,CONSTRAINT_FIRST,capability_failure,false,ABSTAINED,true,false,true,constraint,true,true,1041,4637,25831,28929.980625
sha256:6da0b527545c63f46b3c651ea6c35ff872456394cf9a81a79a21784cfc4b1717,replica-region:r2,replica-region,observation-first,2,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,1013,4499,21723,18723.32025
sha256:a9fb48de4c9d21b5c84f43a34e39f845e70ac95a6fb7f6b79d0e9e684fcc94fc,replica-region:r2,replica-region,observation-first,2,ADAPTIVE_ORDER,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,956,4360,24573,23137.809708
sha256:cee8f9e35ab1b0d0b7683d415436dbc6b5bcb5e7addd1d41a6431e48d3a07cfb,replica-region:r2,replica-region,observation-first,2,OBSERVATION_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,917,4212,26673,41476.043958
sha256:7210eaaca88054bc22e6c6f303c98fef5852b03ce4f275f49f78cc3c7ccd926e,replica-region:r3,replica-region,observation-first,3,CONSTRAINT_FIRST,capability_failure,false,ABSTAINED,true,false,true,constraint,true,true,1007,4529,25222,25012.942375
sha256:73aef76b123082a396a858b8ae1609d95fe9c654bef8cf61928844673dbfb0af,replica-region:r3,replica-region,observation-first,3,ADAPTIVE_ORDER,completed,true,,false,false,true,observation,true,true,1150,4963,27008,31394.3195
sha256:0b405c9722269ee2be38bb2c9738b898abd6f6a14072d5da407f010e292c562e,replica-region:r3,replica-region,observation-first,3,OBSERVATION_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,944,4307,24756,25723.800167
sha256:c454d9dde9ae05d821db3b16c5e4f6a15f22510d6c2f785bea2130cae7756405,replica-region:r3,replica-region,observation-first,3,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,996,4459,22046,24483.683334
sha256:cb6e2f81308359592a1d0e4e78d45665f1b37b6fe39ab88db47a8efbc03dd04a,independent-feature:r1,independent-feature,independent,1,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,985,4451,24806,26116.328
sha256:774fc62c8ba616c28e7c98aaf8be502530e3aa94c96227f45fb1eaf897ebcd67,independent-feature:r1,independent-feature,independent,1,PARALLEL_JOIN,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,1244,5392,21475,17266.459125
sha256:581ee4ea2d849dea6cc54b6091162abd8a821dc449fdf9336ee884fc957f0a8b,independent-feature:r1,independent-feature,independent,1,OBSERVATION_FIRST,completed,true,,false,false,true,observation,true,true,1132,4863,24805,31787.930958
