jobId,blockId,familyId,repeat,condition,status,hardPass,failureCode,parentProviderContextTokens,parentEstimatedContextTokens,parentMessageBytes,parentToolResultBytes,sentinelVisible,lifecycleValid,parentTokens,childTokens,treeTokens,wallTimeMs
sha256:93b1ceda2b831494c87d87e51b738eeb51b9fa76575dfaaf481a09262f326855,deployment-toggle:r1,deployment-toggle,1,INLINE_PARENT,completed,true,,7812,6953,30210,26729,true,true,8678,0,8678,8629.635792
sha256:4780330c035f78e71ad2b23c55aad144c214f515380f5fa38e118e7882ed7d51,deployment-toggle:r1,deployment-toggle,1,EPHEMERAL_FREEFORM,completed,true,,1123,421,3695,336,false,true,1934,8157,10091,14704.211417
sha256:8bb15a563adfc86e0d4cde8ba63b32b310cd3157e33fd09d32f2f833db1738fc,deployment-toggle:r1,deployment-toggle,1,SKILLSCOPE_FLAT,completed,true,,1140,444,3858,559,false,true,1951,10690,12641,16747.648583
sha256:c1349ee592e26f7a7e9033467b654546f9bc82323a58c641b9bcb391025fc67f,deployment-toggle:r1,deployment-toggle,1,SKILLSCOPE_NESTED,completed,true,,1107,429,4613,576,false,true,1918,20072,21990,53962.713167
sha256:f3536f3585f4101151360f440466e3371551ebdbf989c745558b508848221481,deployment-toggle:r2,deployment-toggle,2,SKILLSCOPE_FLAT,completed,true,,1104,422,3794,717,false,true,1895,10782,12677,32085.104958
sha256:0237ad873cfd5f7593f1f93e2c4e3473be4f06dd394657e78108ceb9a6776445,deployment-toggle:r2,deployment-toggle,2,EPHEMERAL_FREEFORM,completed,true,,1140,430,3747,337,false,true,1952,8170,10122,21534.391042
sha256:587752a3ea874aa1406debe67c092c677b5cee89e36abd61ac42ceed5b96d210,deployment-toggle:r2,deployment-toggle,2,INLINE_PARENT,completed,true,,7803,6919,30067,26729,true,true,8668,0,8668,15279.336417
sha256:8371fd8a784a23f77d39ddd6e679f5249b7e22f6336591378ca38a276bc59d62,deployment-toggle:r2,deployment-toggle,2,SKILLSCOPE_NESTED,completed,true,,1167,472,4859,566,false,true,1979,19953,21932,45101.903667
sha256:f28667fb5d028e4371d1b988282c1661c658856b2bfd04e609eeaa498fb6eddd,deployment-toggle:r3,deployment-toggle,3,EPHEMERAL_FREEFORM,completed,true,,1144,438,3757,358,false,true,1955,8156,10111,14660.835875
sha256:9eb03ccf1d5c9cb132222f0ff649cb8035c2e003f832ce62f29c01cab88a8f0a,deployment-toggle:r3,deployment-toggle,3,INLINE_PARENT,completed,true,,7805,6928,30101,26729,true,true,8672,0,8672,11797.395625
sha256:8c47be54faea436ef69ff544ff15a94d48129ebdf68551f516487b52dadf360c,deployment-toggle:r3,deployment-toggle,3,SKILLSCOPE_FLAT,completed,true,,1156,454,3926,593,false,true,1968,10697,12665,19487.871083
sha256:9b8e131d863e449df1180f5384ee9fe8bb5a5fa973b6bc170a0ceb4ee890b26b,deployment-toggle:r3,deployment-toggle,3,SKILLSCOPE_NESTED,completed,true,,1179,490,4844,585,false,true,1994,19936,21930,33608.041667
sha256:0554470e4898c20efbcba6ea00c2a245d348932100843cb984ce97438e155150,schema-rollout:r1,schema-rollout,1,SKILLSCOPE_NESTED,completed,true,,1233,516,4953,656,false,true,2055,20024,22079,38355.287541
sha256:e1fd1de463d05f65fc26616291dbfb31b6d9d5de858def8ca52b2c3d535b6b23,schema-rollout:r1,schema-rollout,1,INLINE_PARENT,completed,true,,7891,7000,30418,26750,true,true,8745,0,8745,21124.596042
sha256:2e381743601ec56d5855c9629c8b25ca611dd5f447e2b2df093620084c35f85a,schema-rollout:r1,schema-rollout,1,EPHEMERAL_FREEFORM,completed,true,,1150,423,3662,379,false,true,1973,8233,10206,15597.826084
sha256:9675ba7e43fa3f850e8ff833f1471c94782083a3fef65d33b9afa2d8ed8afa4e,schema-rollout:r1,schema-rollout,1,SKILLSCOPE_FLAT,completed,true,,1214,497,4034,795,false,true,2015,10839,12854,17606.7375
sha256:242645a726f81bdf2956d38fafd6bc2c6a3c17a09226d981d927d5154cc8ad17,schema-rollout:r2,schema-rollout,2,INLINE_PARENT,completed,true,,7908,7034,30549,26750,true,true,8790,0,8790,6973.995833
sha256:92847b98c8ebe82f2fe78067ddb7a2aa165bb31d36ce04de679b4b79dd76173d,schema-rollout:r2,schema-rollout,2,EPHEMERAL_FREEFORM,completed,true,,1196,481,3897,378,false,true,2053,8241,10294,15802.0505
sha256:bf76a05450868c9f8b1dc2d550752646e2b878d8280e102cfd8e4a7e999cb51f,schema-rollout:r2,schema-rollout,2,SKILLSCOPE_NESTED,completed,true,,1208,504,4919,594,false,true,2028,20633,22661,36774.549333
sha256:135955ce170353406ad72eeb2575b36f01731e0288635cb2f069908dca98cfd4,schema-rollout:r2,schema-rollout,2,SKILLSCOPE_FLAT,completed,true,,1258,553,4295,736,false,true,2074,10846,12920,19758.450625
sha256:cd181b83410856acf0992d86a4932e1ccaa1467b9f34913c5e134c0da6f5c394,schema-rollout:r3,schema-rollout,3,SKILLSCOPE_NESTED,completed,true,,1288,579,5286,624,false,true,2177,20533,22710,51900.054041
sha256:0b64fcc565c7b11fceaa41bc263c37d7ed9f1a24c530d03e3e54547556c8678e,schema-rollout:r3,schema-rollout,3,EPHEMERAL_FREEFORM,completed,true,,1168,446,3787,391,false,true,1988,8229,10217,42394.802333
sha256:06f247914beae3994e3b6eecd475f02d5b6a7584ab5e8f007772e0d3b4b8fe5d,schema-rollout:r3,schema-rollout,3,SKILLSCOPE_FLAT,completed,true,,1185,493,4067,595,false,true,2003,10844,12847,21750.937083
sha256:9bf462e4a8e01bfe1ac58a56517767ec03d53ce57713263aeeeb5340be4e34fc,schema-rollout:r3,schema-rollout,3,INLINE_PARENT,completed,true,,7815,6917,30085,26750,true,true,8664,0,8664,15184.20425
sha256:b8a9be400d0d2b501dbf4396f690f1edda54d76bc311899a640ee46ea4fe42d8,client-migration:r1,client-migration,1,EPHEMERAL_FREEFORM,completed,true,,1152,421,3718,368,false,true,1973,8274,10247,31561.801042
sha256:0c7a82d93a4968378660857466f277b7667d93079733c3b604159a276a46007b,client-migration:r1,client-migration,1,SKILLSCOPE_NESTED,completed,true,,1252,533,5002,671,false,true,2075,20072,22147,95083.202542
sha256:0795f18c6b8ebeadb7fb4852eda156c1bb9cb5ef98eaee8b57e98b74b8e0ecc3,client-migration:r1,client-migration,1,INLINE_PARENT,completed,true,,7838,6941,30127,26804,true,true,8703,0,8703,7063.093458
sha256:d43cb431f77860d0ef48a823ab435af1a61cd3ddd1143c080753b95cdc8ad45f,client-migration:r1,client-migration,1,SKILLSCOPE_FLAT,completed,true,,1223,506,4080,655,false,true,2048,10828,12876,28965.987042
sha256:3bffeb9b8a2668f1582ac9adc717cac22d1f1669976434a912145c49d30d3838,client-migration:r2,client-migration,2,SKILLSCOPE_FLAT,completed,true,,1175,458,3902,499,false,true,1976,10765,12741,36268.122792
sha256:7237bc723a7146216ee5cb2da5730e5108f7758c88da73101d975fc75d6a0ee6,client-migration:r2,client-migration,2,SKILLSCOPE_NESTED,completed,true,,1231,511,4921,593,false,true,2051,20054,22105,44770.6195
sha256:9b1da96743fa44184c118c4b6068c17d191030d3ab812e277920f0f4bfe14362,client-migration:r2,client-migration,2,INLINE_PARENT,completed,true,,7901,7003,30435,26804,true,true,8772,0,8772,8807.999208
sha256:ed2b9f8bfd962a3190afa662e19aa6f28e83102cd3a4255647a962e774a7d1d3,client-migration:r2,client-migration,2,EPHEMERAL_FREEFORM,completed,true,,1166,433,3726,386,false,true,1989,8247,10236,25601.634708
sha256:bf904a878e9afad6f435263fe4e995aa47f8c8de5c139fd2008bb413725f5f65,client-migration:r3,client-migration,3,EPHEMERAL_FREEFORM,completed,true,,1160,424,3712,380,false,true,1981,8254,10235,16431.376417
sha256:ad1fceae07c5ba69d60da4e55addf8d60924a230223074fe357569b2dfd9925d,client-migration:r3,client-migration,3,SKILLSCOPE_NESTED,completed,true,,1243,524,4995,663,false,true,2066,20202,22268,56506.006792
sha256:344c43aaa2a02c9ea150e8164c3e02496070381c9e7a5bfba35caeae4bbede6f,client-migration:r3,client-migration,3,INLINE_PARENT,completed,true,,7845,6963,30251,26804,true,true,8716,0,8716,14566.95625
sha256:427c715993aa2a4853de58795462d74afcddb5f775046960ead4827f02145a36,client-migration:r3,client-migration,3,SKILLSCOPE_FLAT,completed,true,,1255,534,4204,674,false,true,2081,10839,12920,32478.20975
sha256:8543b096edfff725ac5b6ed72ce675c775dc59f4a803321a8520c30211bcd92c,error-budget:r1,error-budget,1,EPHEMERAL_FREEFORM,completed,true,,1141,419,3685,373,false,true,1959,8224,10183,28001.2835
sha256:3c8d8cd33301d68a766a11d96e2777a86b41f3e83851cc448ebd5ada4befab34,error-budget:r1,error-budget,1,SKILLSCOPE_NESTED,completed,true,,1154,460,4720,687,false,true,1963,20020,21983,90623.997375
sha256:8ba609b4bd39304a898b781d31885ebb34029a9a3f633cecd59366ee80d76eb0,error-budget:r1,error-budget,1,SKILLSCOPE_FLAT,completed,true,,1195,489,4053,560,false,true,2014,10791,12805,25284.99425
sha256:3f2ecd1677e516bc1c1ff945b013463f91c83c837a72b9b2680e802027f9c97a,error-budget:r1,error-budget,1,INLINE_PARENT,completed,true,,7852,6983,30287,26736,true,true,8723,0,8723,14250.649583
sha256:ec4602d4ec728b69b92c27b17d5849e0a3b263a76e7534d88129d9f08ec189ea,error-budget:r2,error-budget,2,INLINE_PARENT,completed,true,,7824,6933,30098,26736,true,true,8683,0,8683,18687.075834
sha256:f36dee2798be0b208aed7d664ba1f8a5db7a59f48f58012ce21433662af69120,error-budget:r2,error-budget,2,EPHEMERAL_FREEFORM,completed,true,,1129,426,3662,373,false,true,1946,8230,10176,19198.039792
sha256:9ba1fa3a4af36cefa04971fbcf5b1c9fa44298fa2a9cc4264c595c6aa67a5660,error-budget:r2,error-budget,2,SKILLSCOPE_FLAT,completed,true,,1240,544,4308,731,false,true,2056,10828,12884,20289.632417
