jobId,blockId,familyId,dependencyDirection,repeat,condition,compositionMode,status,hardPass,routeValid,canonicalEvidence,abstained,confidentWrong,lifecycleValid,parentContextTokens,treeTokens,wallTimeMs
sha256:eaca98d93cf09f3d987b3ef276c8cd9adf99186a6381c887e6eea306684e6a39,rollout-lane:r1,rollout-lane,constraint-first,1,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,1140,25258,22477.832958
sha256:4df9d455a40d042811bd0bdfbbc9d2ec6b166e69577f8a3e16625944e7b6bb11,rollout-lane:r1,rollout-lane,constraint-first,1,RUNTIME_ROUTED,CONSTRAINT_FIRST,completed,true,true,true,false,false,true,1103,25969,29166.411875
sha256:3289f0a7b2a4cac6e40b65a6510346822ae95afecfb870c93c06736ff6816862,rollout-lane:r2,rollout-lane,constraint-first,2,RUNTIME_ROUTED,CONSTRAINT_FIRST,completed,true,true,true,false,false,true,963,24670,19895.831333
sha256:ac5ce771b7b27a1a0fb72d629fa6e6f939da5b49f590f40c09054f68fb2786b6,rollout-lane:r2,rollout-lane,constraint-first,2,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,951,25818,32225.378792
sha256:40b20afcc5ce1ddcf657ddd55471c50f7e90edf56b58c46d2fb8b299bb23011b,rollout-lane:r3,rollout-lane,constraint-first,3,RUNTIME_ROUTED,CONSTRAINT_FIRST,completed,true,true,true,false,false,true,974,24800,22008.347791
sha256:f949fb0e72880e114ea9e4a71f39b8b3a751cea3e6e23a3f88c043359fc97eb3,rollout-lane:r3,rollout-lane,constraint-first,3,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,965,25286,28136.939291
sha256:d0e7bcc189f05eb5f3fe34b223723508bfa30a5c5a522300a740567bb8cb995a,retention-tier:r1,retention-tier,constraint-first,1,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,980,24841,20098.130417
sha256:f72134798428e607923edab5dbaaadfa3226555016580b9c7aaabdbf041d2f9e,retention-tier:r1,retention-tier,constraint-first,1,RUNTIME_ROUTED,CONSTRAINT_FIRST,completed,true,true,true,false,false,true,957,24693,19826.4955
sha256:9dfbcdb4237c3bc8b221374249d2be5eb11811456137c365a041bf6cd5758d09,retention-tier:r2,retention-tier,constraint-first,2,MODEL_ROUTED,MODEL_ROUTE,capability_failure,false,false,true,true,false,true,1082,28616,78285.5745
sha256:8e9d542703dd532b9d314a65197a61fdfe2fabb62981d7248db07fbf2f5c2810,retention-tier:r2,retention-tier,constraint-first,2,RUNTIME_ROUTED,CONSTRAINT_FIRST,completed,true,true,true,false,false,true,964,24613,20805.086375
sha256:d132172a573526f15f6cff11a14952344f9426721557d4fef3f59d919d62b02a,retention-tier:r3,retention-tier,constraint-first,3,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,972,24853,24380.856375
sha256:87d66093089a7fd5b1e004398d5db68b86bab9fa1545a18bbe2b5b6a28c2ccb2,retention-tier:r3,retention-tier,constraint-first,3,RUNTIME_ROUTED,CONSTRAINT_FIRST,completed,true,true,true,false,false,true,930,25952,35382.6395
sha256:6e20e3c1ad200db191491d7c28d19f4f09326bd19bec2dfa5f625e250dcd49f7,client-cohort:r1,client-cohort,observation-first,1,MODEL_ROUTED,MODEL_ROUTE,capability_failure,false,false,true,true,false,true,993,26385,23554.647917
sha256:441399f9b80aff859594b0bc0e3857207c22f5a936e824049283fd3f057479c0,client-cohort:r1,client-cohort,observation-first,1,RUNTIME_ROUTED,OBSERVATION_FIRST,completed,true,true,true,false,false,true,957,25907,43475.512875
sha256:6b271ca6ea51f13ea8a740f21101460cadd5850961c64c48486ad8a5d0a1815b,client-cohort:r2,client-cohort,observation-first,2,RUNTIME_ROUTED,OBSERVATION_FIRST,completed,true,true,true,false,false,true,1043,24717,21159.676375
sha256:77f9ffcfa4eb543e445b05f363227b559257e448f06491d14d26adc07d027dd9,client-cohort:r2,client-cohort,observation-first,2,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,1168,26489,27780.941917
sha256:8da84a566b3f6019924bfc8768a1c834e603e01bc09b845af31df3097e9a56aa,client-cohort:r3,client-cohort,observation-first,3,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,1001,25069,22212.487458
sha256:ac27b59a9d31601c0f00aa73b3beac2752219a76cad931204e6b9b00dc0cd626,client-cohort:r3,client-cohort,observation-first,3,RUNTIME_ROUTED,OBSERVATION_FIRST,capability_failure,false,true,true,true,false,true,1030,26623,37613.350958
sha256:ffc3be4f91d851ba0fdba66e541581bbd84a170d60fd23f5844f2ae5ae2c36cf,replica-region:r1,replica-region,observation-first,1,MODEL_ROUTED,MODEL_ROUTE,capability_failure,false,false,true,true,false,true,1158,30696,35340.32875
sha256:66e53855a73253344afb8b44e1cd651eb0a45abbd59c8a646c7c93edfd9c8bd3,replica-region:r1,replica-region,observation-first,1,RUNTIME_ROUTED,OBSERVATION_FIRST,completed,true,true,true,false,false,true,1180,25853,29267.868208
sha256:3704aed5553d0207fcd818b388054c73efea5c3de3f6ca5c604b0e5eb562eecd,replica-region:r2,replica-region,observation-first,2,RUNTIME_ROUTED,OBSERVATION_FIRST,completed,true,true,true,false,false,true,973,24685,20703.630334
sha256:be2f9ee2c83aadb058794e3b1c143a25b307d5572b794e69ab2c3ba606a56317,replica-region:r2,replica-region,observation-first,2,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,989,25373,28555.151375
sha256:642a8ad5a4f2b9d93baefdc5a5643e801bd31860f51ac17ddca1d259eef2e6f1,replica-region:r3,replica-region,observation-first,3,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,1022,24761,21287.009667
sha256:aeb759252956e374d8d0e54af240c4507c6dc4393f42591d5ce22577fa9b1285,replica-region:r3,replica-region,observation-first,3,RUNTIME_ROUTED,OBSERVATION_FIRST,completed,true,true,true,false,false,true,968,24695,24533.10525
sha256:d864ca2abdcf7510efd40db5f60a91456aba01816306479377fade61d14a8e64,independent-feature:r1,independent-feature,independent,1,RUNTIME_ROUTED,PARALLEL_JOIN,completed,true,true,true,false,false,true,925,21016,13949.220125
sha256:6dd2b8d321e539841e2bc6df84f33552002553c5e38dcdad3556488f4d23add0,independent-feature:r1,independent-feature,independent,1,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,925,21252,15477.12075
sha256:4a7419a3b7dce267c7e5b5554f3c58a18ab9a3fdf75af82f33efba86167b11e1,independent-feature:r2,independent-feature,independent,2,RUNTIME_ROUTED,PARALLEL_JOIN,completed,true,true,true,false,false,true,924,21062,13837.465541
sha256:fb0cb7c1ebb17de49ffd512a736bdf0efd436a93448262fb812e140b3203c684,independent-feature:r2,independent-feature,independent,2,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,1005,21835,22601.864833
sha256:d413d8e4803d513681a71cb250872c9d8ee6dfbf40aa5c7b78ad36d772390d0e,independent-feature:r3,independent-feature,independent,3,RUNTIME_ROUTED,PARALLEL_JOIN,completed,true,true,true,false,false,true,952,21045,14305.904792
sha256:5a25b88a948915f35ccfb6798e171746265852f618f88280faea8f611bb9f38b,independent-feature:r3,independent-feature,independent,3,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,933,21129,13412.429666
sha256:135383ca566c73f75f73b8031a3de4d3ed9994321c0a555971f42d4a5b3463cf,independent-budget:r1,independent-budget,independent,1,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,949,21333,14160.197125
sha256:36dc59a3fe87aab6f4edf4ff7e06577fbb44c605ddca910dfdeace96950e8302,independent-budget:r1,independent-budget,independent,1,RUNTIME_ROUTED,PARALLEL_JOIN,completed,true,true,true,false,false,true,961,21696,18101.554667
sha256:8fb80fbbf0c7f05e5bbcc1b08d5c7923a2a9d343651b86a7225adb92be4cd7a9,independent-budget:r2,independent-budget,independent,2,RUNTIME_ROUTED,PARALLEL_JOIN,completed,true,true,true,false,false,true,948,21253,14155.877334
sha256:10bbd58d4ee91dedb93424b066954da447363076962c555bb6b7e574ed0859f8,independent-budget:r2,independent-budget,independent,2,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,942,21299,14761.37625
sha256:9f2b3771872c90db834e7082ff37466e31b8f1a0d563cca511acc32e30298cf6,independent-budget:r3,independent-budget,independent,3,MODEL_ROUTED,MODEL_ROUTE,completed,true,true,true,false,false,true,932,21098,13245.493208
sha256:c997d8a372a88d4bef379ebb556af0825e99e8bec5da030c82b2012fcf41dba8,independent-budget:r3,independent-budget,independent,3,RUNTIME_ROUTED,PARALLEL_JOIN,completed,true,true,true,false,false,true,944,21842,16635.4865
